Ticket,Name,Link,Price,Market Cap,Change
BTS,BitShares,https://coinmarketcap.com/currencies/bitshares/,$0.028733,"$78,936,932",-0.28%
BCN,Bytecoin,https://coinmarketcap.com/currencies/bytecoin-bcn/,$0.000429,"$78,907,854",7.86%
HC,HyperCash,https://coinmarketcap.com/currencies/hypercash/,$1.74,"$77,386,006",4.88%
MONA,MonaCoin,https://coinmarketcap.com/currencies/monacoin/,$1.11,"$73,192,298",-0.50%
FTT,FTX Token,https://coinmarketcap.com/currencies/ftx-token/,$1.38,"$72,860,789",-0.58%
QNT,Quant,https://coinmarketcap.com/currencies/quant/,$5.89,"$71,074,238",2.58%
MCO,MCO,https://coinmarketcap.com/currencies/crypto-com/,$4.25,"$67,046,731",1.50%
SXP,Swipe,https://coinmarketcap.com/currencies/swipe/,$1.07,"$65,144,950",-1.73%
AE,Aeternity,https://coinmarketcap.com/currencies/aeternity/,$0.222705,"$64,416,812",7.54%
KMD,Komodo,https://coinmarketcap.com/currencies/komodo/,$0.546239,"$63,777,618",2.16%
XVG,Verge,https://coinmarketcap.com/currencies/verge/,$0.003796,"$60,832,768",2.10%
NOAH,Noah Coin,https://coinmarketcap.com/currencies/noah-coin/,$0.001769,"$57,829,409",-52.02%
NRG,Energi,https://coinmarketcap.com/currencies/energi/,$2.58,"$57,047,761",-2.03%
ZIL,Zilliqa,https://coinmarketcap.com/currencies/zilliqa/,$0.006328,"$54,976,861",15.92%
ARDR,Ardor,https://coinmarketcap.com/currencies/ardor/,$0.054715,"$54,659,887",0.44%
MAID,MaidSafeCoin,https://coinmarketcap.com/currencies/maidsafecoin/,$0.119334,"$54,004,951",-3.16%
STEEM,Steem,https://coinmarketcap.com/currencies/steem/,$0.149283,"$52,189,212",6.63%
ENJ,Enjin Coin,https://coinmarketcap.com/currencies/enjin-coin/,$0.066281,"$52,005,068",7.15%
RIF,RIF Token,https://coinmarketcap.com/currencies/rif-token/,$0.102730,"$51,302,752",4.14%
NEXO,Nexo,https://coinmarketcap.com/currencies/nexo/,$0.091451,"$51,212,618",-3.07%
ELF,aelf,https://coinmarketcap.com/currencies/aelf/,$0.092488,"$50,357,721",6.72%
SEELE,Seele,https://coinmarketcap.com/currencies/seele/,$0.069342,"$48,307,843",3.29%
RLC,iExec RLC,https://coinmarketcap.com/currencies/rlc/,$0.597972,"$47,880,130",1.08%
CRPT,Crypterium,https://coinmarketcap.com/currencies/crpt/,$0.553931,"$46,966,524",-1.15%
AOA,Aurora,https://coinmarketcap.com/currencies/aurora/,$0.007153,"$46,795,523",-2.37%
SNT,Status,https://coinmarketcap.com/currencies/status/,$0.013451,"$46,681,211",4.41%
GNT,Golem,https://coinmarketcap.com/currencies/golem-network-tokens/,$0.045661,"$44,749,921",2.59%
NEW,Newton,https://coinmarketcap.com/currencies/newton/,$0.003657,"$43,699,364",0.44%
REN,Ren,https://coinmarketcap.com/currencies/ren/,$0.053831,"$43,092,112",8.03%
XZC,Zcoin,https://coinmarketcap.com/currencies/zcoin/,$4.86,"$42,360,242",-0.69%
LAMB,Lambda,https://coinmarketcap.com/currencies/lambda/,$0.054683,"$42,217,434",34.80%
NPXS,Pundi X,https://coinmarketcap.com/currencies/pundi-x/,$0.000180,"$42,088,761",2.12%
MOF,Molecular Future,https://coinmarketcap.com/currencies/molecular-future/,$1.01,"$41,640,657",-4.61%
NEX,Nash Exchange,https://coinmarketcap.com/currencies/nash-exchange/,$1.15,"$41,568,184",0.63%
SOLVE,SOLVE,https://coinmarketcap.com/currencies/solve/,$0.125964,"$41,243,482",3.67%
CHZ,Chiliz,https://coinmarketcap.com/currencies/chiliz/,$0.011088,"$39,969,527",3.41%
TT,Thunder Token,https://coinmarketcap.com/currencies/thunder-token/,$0.013677,"$39,690,605",25.22%
WIN,WINk,https://coinmarketcap.com/currencies/wink-tronbet/,$0.000195,"$38,330,501",12.34%
ZEN,Horizen,https://coinmarketcap.com/currencies/zencash/,$4.92,"$37,740,824",5.73%
ETP,Metaverse ETP,https://coinmarketcap.com/currencies/metaverse/,$0.487567,"$37,488,066",2.53%
ETN,Electroneum,https://coinmarketcap.com/currencies/electroneum/,$0.003646,"$35,986,490",-2.62%
EURS,STASIS EURO,https://coinmarketcap.com/currencies/stasis-euro/,$1.11,"$35,522,662",0.47%
XMX,XMax,https://coinmarketcap.com/currencies/xmax/,$0.001952,"$34,828,633",-0.25%
MANA,Decentraland,https://coinmarketcap.com/currencies/decentraland/,$0.032014,"$33,619,449",4.49%
ELA,Elastos,https://coinmarketcap.com/currencies/elastos/,$2.06,"$33,040,095",-1.70%
MATIC,Matic Network,https://coinmarketcap.com/currencies/matic-network/,$0.013809,"$32,923,162",2.58%
GXC,GXChain,https://coinmarketcap.com/currencies/gxchain/,$0.504771,"$32,810,136",3.62%
WTC,Waltonchain,https://coinmarketcap.com/currencies/waltonchain/,$0.761833,"$32,580,688",4.98%
DGTX,Digitex Futures,https://coinmarketcap.com/currencies/digitex-futures/,$0.041807,"$32,510,376",0.30%
STRAT,Stratis,https://coinmarketcap.com/currencies/stratis/,$0.323273,"$32,180,863",-0.62%
BCV,BitCapitalVendor,https://coinmarketcap.com/currencies/bitcapitalvendor/,$0.035875,"$31,971,962",2.97%
DX,DxChain Token,https://coinmarketcap.com/currencies/dxchain-token/,$0.000634,"$31,719,199",3.18%
NAS,Nebulas,https://coinmarketcap.com/currencies/nebulas-token/,$0.593733,"$30,845,947",1.84%
NULS,NULS,https://coinmarketcap.com/currencies/nuls/,$0.416158,"$30,700,154",-1.54%
ODE,ODEM,https://coinmarketcap.com/currencies/odem/,$0.133233,"$30,691,639",8.02%
PAI,Project Pai,https://coinmarketcap.com/currencies/project-pai/,$0.020958,"$30,392,715",0.30%
KNC,Kyber Network,https://coinmarketcap.com/currencies/kyber-network/,$0.179255,"$30,291,279",3.31%
LRC,Loopring,https://coinmarketcap.com/currencies/loopring/,$0.032514,"$29,715,561",-1.03%
BRD,Bread,https://coinmarketcap.com/currencies/bread/,$0.329229,"$29,213,837",2.59%
CVC,Civic,https://coinmarketcap.com/currencies/civic/,$0.042691,"$28,603,027",4.38%
TNT,Tierion,https://coinmarketcap.com/currencies/tierion/,$0.066198,"$28,364,804",-1.61%
TOMO,TomoChain,https://coinmarketcap.com/currencies/tomochain/,$0.429133,"$27,942,936",16.67%
PPT,Populous,https://coinmarketcap.com/currencies/populous/,$0.503054,"$26,788,755",-3.87%
AION,Aion,https://coinmarketcap.com/currencies/aion/,$0.073228,"$26,563,426",-5.90%
RDD,ReddCoin,https://coinmarketcap.com/currencies/reddcoin/,$0.000916,"$26,402,995",6.27%
DCN,Dentacoin,https://coinmarketcap.com/currencies/dentacoin/,$0.000049,"$26,368,975",-5.68%
DRG,Dragon Coins,https://coinmarketcap.com/currencies/dragon-coins/,$0.073007,"$25,454,536",17.91%
WICC,WaykiChain,https://coinmarketcap.com/currencies/waykichain/,$0.133701,"$25,269,503",-0.87%
DGD,DigixDAO,https://coinmarketcap.com/currencies/digixdao/,$12.25,"$24,504,449",0.44%
TRUE,TrueChain,https://coinmarketcap.com/currencies/truechain/,$0.306427,"$24,384,070",3.57%
BEAM,Beam,https://coinmarketcap.com/currencies/beam/,$0.573333,"$24,377,031",2.22%
WAN,Wanchain,https://coinmarketcap.com/currencies/wanchain/,$0.229173,"$24,327,276",3.88%
GT,Gatechain Token,https://coinmarketcap.com/currencies/gatechain-token/,$0.604700,"$23,902,609",3.40%
LINA,LINA,https://coinmarketcap.com/currencies/lina/,$0.086846,"$23,876,737",-5.23%
FCT,Factom,https://coinmarketcap.com/currencies/factom/,$2.37,"$23,314,215",3.54%
ARK,Ark,https://coinmarketcap.com/currencies/ark/,$0.201152,"$23,292,315",5.29%
HBAR,Hedera Hashgraph,https://coinmarketcap.com/currencies/hedera-hashgraph/,$0.034087,"$23,113,978",6.47%
GRIN,Grin,https://coinmarketcap.com/currencies/grin/,$0.923935,"$23,036,798",0.69%
HYN,Hyperion,https://coinmarketcap.com/currencies/hyperion/,$0.072236,"$22,881,931",12.26%
CV,carVertical,https://coinmarketcap.com/currencies/carvertical/,$0.002982,"$22,815,861",9.00%
LOOM,Loom Network,https://coinmarketcap.com/currencies/loom-network/,$0.023507,"$22,787,153",4.64%
FET,Fetch.ai,https://coinmarketcap.com/currencies/fetch/,$0.037557,"$22,758,362",-2.49%
WAXP,WAX,https://coinmarketcap.com/currencies/wax/,$0.026927,"$22,543,622",4.02%
ILC,ILCoin,https://coinmarketcap.com/currencies/ilcoin/,$0.069702,"$22,443,357",3.43%
ANT,Aragon,https://coinmarketcap.com/currencies/aragon/,$0.744506,"$22,186,479",2.67%
QASH,QASH,https://coinmarketcap.com/currencies/qash/,$0.063214,"$22,124,898",3.40%
NXS,Nexus,https://coinmarketcap.com/currencies/nexus/,$0.341171,"$22,064,178",0.86%
EDC,EDC Blockchain,https://coinmarketcap.com/currencies/edc-blockchain/,$0.008177,"$21,837,448",-0.19%
YOU,YOU COIN,https://coinmarketcap.com/currencies/you-coin/,$0.052531,"$21,784,064",-0.61%
FTM,Fantom,https://coinmarketcap.com/currencies/fantom/,$0.011995,"$21,755,107",0.30%
ENG,Enigma,https://coinmarketcap.com/currencies/enigma/,$0.288407,"$21,583,274",2.63%
FUN,FunFair,https://coinmarketcap.com/currencies/funfair/,$0.003292,"$21,562,004",6.01%
R,Revain,https://coinmarketcap.com/currencies/revain/,$0.043185,"$20,921,080",-2.79%
BHP,BHPCoin,https://coinmarketcap.com/currencies/bhp-coin/,$1.07,"$20,844,434",3.04%
ORBS,Orbs,https://coinmarketcap.com/currencies/orbs/,$0.010670,"$20,752,958",-1.10%
RCN,Ripio Credit ...,https://coinmarketcap.com/currencies/ripio-credit-network/,$0.040505,"$20,626,394",6.56%
POWR,Power Ledger,https://coinmarketcap.com/currencies/power-ledger/,$0.047906,"$20,182,087",1.56%
BNT,Bancor,https://coinmarketcap.com/currencies/bancor/,$0.316801,"$19,871,968",-0.02%
FSN,Fusion,https://coinmarketcap.com/currencies/fusion/,$0.559452,"$19,756,941",19.61%
IOTX,IoTeX,https://coinmarketcap.com/currencies/iotex/,$0.004548,"$19,693,313",8.91%
IGNIS,Ignis,https://coinmarketcap.com/currencies/ignis/,$0.025837,"$19,665,639",5.26%
MAN,Matrix AI Net...,https://coinmarketcap.com/currencies/matrix-ai-network/,$0.098905,"$18,896,159",-5.45%
STORJ,Storj,https://coinmarketcap.com/currencies/storj/,$0.137594,"$18,683,536",-0.28%
UNI,UNI COIN,https://coinmarketcap.com/currencies/uni-coin/,$1.44,"$18,543,671",-0.05%
MTL,Metal,https://coinmarketcap.com/currencies/metal/,$0.354733,"$18,440,371",-3.38%
C20,CRYPTO20,https://coinmarketcap.com/currencies/c20/,$0.452928,"$18,310,317",-4.52%
SAN,Santiment Net...,https://coinmarketcap.com/currencies/santiment/,$0.291402,"$18,259,363",1.52%
BUSD,Binance USD,https://coinmarketcap.com/currencies/binance-usd/,$1.00,"$18,087,326",-0.07%
DENT,Dent,https://coinmarketcap.com/currencies/dent/,$0.000236,"$17,919,527",-1.16%
GNO,Gnosis,https://coinmarketcap.com/currencies/gnosis-gno/,$15.86,"$17,522,202",-0.22%
CS,Credits,https://coinmarketcap.com/currencies/credits/,$0.093216,"$17,247,745",-2.00%
ROX,Robotina,https://coinmarketcap.com/currencies/robotina/,$0.056307,"$17,103,590",0.01%
KAN,BitKan,https://coinmarketcap.com/currencies/bitkan/,$0.002794,"$17,058,354",-1.83%
GRS,Groestlcoin,https://coinmarketcap.com/currencies/groestlcoin/,$0.229238,"$16,896,725",0.36%
BIX,Bibox Token,https://coinmarketcap.com/currencies/bibox-token/,$0.155739,"$16,693,247",0.79%
GAS,Gas,https://coinmarketcap.com/currencies/gas/,$1.62,"$16,393,885",-1.89%
TEL,Telcoin,https://coinmarketcap.com/currencies/telcoin/,$0.000417,"$16,378,011",-0.16%
CMT,CyberMiles,https://coinmarketcap.com/currencies/cybermiles/,$0.019998,"$15,998,537",-2.68%
EDO,Eidoo,https://coinmarketcap.com/currencies/eidoo/,$0.305251,"$15,857,393",5.40%
WGR,Wagerr,https://coinmarketcap.com/currencies/wagerr/,$0.083068,"$15,672,163",1.03%
MEDX,MediBloc [ERC20],https://coinmarketcap.com/currencies/medx/,$0.004491,"$15,426,642",2.03%
ADN,Aladdin,https://coinmarketcap.com/currencies/aladdin/,$0.000481,"$15,371,512",-3.57%
ABT,Arcblock,https://coinmarketcap.com/currencies/arcblock/,$0.155886,"$15,363,269",1.55%
COCOS,Cocos-BCX,https://coinmarketcap.com/currencies/cocos-bcx/,$0.000971,"$15,262,543",5.01%
DIVI,Divi,https://coinmarketcap.com/currencies/divi/,$0.011147,"$14,798,953",-0.06%
DAG,Constellation,https://coinmarketcap.com/currencies/constellation/,$0.016821,"$14,568,877",-4.34%
SYS,Syscoin,https://coinmarketcap.com/currencies/syscoin/,$0.025526,"$14,526,892",7.64%
REPO,REPO,https://coinmarketcap.com/currencies/repo/,$0.131993,"$14,513,753",79.18%
CELR,Celer Network,https://coinmarketcap.com/currencies/celer-network/,$0.004278,"$14,503,365",2.51%
MDA,Moeda Loyalty...,https://coinmarketcap.com/currencies/moeda-loyalty-points/,$0.736454,"$14,455,767",3.76%
DPT,Diamond Platf...,https://coinmarketcap.com/currencies/diamond-platform-token/,$12.74,"$14,064,234",0.06%
STREAM,Streamit Coin,https://coinmarketcap.com/currencies/streamit-coin/,$2.76,"$14,045,198",-0.47%
CND,Cindicator,https://coinmarketcap.com/currencies/cindicator/,$0.007797,"$13,942,326",6.29%
TTC,TTC,https://coinmarketcap.com/currencies/ttc/,$0.038171,"$13,880,209",3.69%
ONE,Harmony,https://coinmarketcap.com/currencies/harmony/,$0.005316,"$13,813,262",4.22%
LEND,Aave,https://coinmarketcap.com/currencies/aave/,$0.012239,"$13,810,427",-1.38%
LOKI,Loki,https://coinmarketcap.com/currencies/loki/,$0.315737,"$13,804,935",-1.08%
INO,INO COIN,https://coinmarketcap.com/currencies/ino-coin/,$1.96,"$352,019,821",2.45%
PZM,PRIZM,https://coinmarketcap.com/currencies/prizm/,$0.779919,"$325,048,556",9.96%
INB,Insight Chain,https://coinmarketcap.com/currencies/insight-chain/,$0.737122,"$257,920,824",-2.60%
MEXC,MEXC Token,https://coinmarketcap.com/currencies/mexc-token/,$0.276853,"$253,349,694",-27.45%
THX,ThoreNext,https://coinmarketcap.com/currencies/thorenext/,$8.52,"$184,510,746",0.55%
THR,ThoreCoin,https://coinmarketcap.com/currencies/thorecoin/,$1736.04,"$150,490,483",0.52%
OSC,Oasis City,https://coinmarketcap.com/currencies/oasis-city/,$0.051449,"$123,502,440",0.00%
CNX,Cryptonex,https://coinmarketcap.com/currencies/cryptonex/,$2.04,"$113,862,484",0.73%
SLV,Silverway,https://coinmarketcap.com/currencies/silverway/,$1.02,"$102,039,397",11.99%
EON,Dimension Chain,https://coinmarketcap.com/currencies/dimension-chain/,$0.340740,"$83,407,467",1.29%
XIN,Mixin,https://coinmarketcap.com/currencies/mixin/,$177.26,"$81,807,921",-0.16%
KBC,Karatgold Coin,https://coinmarketcap.com/currencies/karatgold-coin/,$0.020339,"$76,323,186",-0.31%
BXK,Bitbook Gambling,https://coinmarketcap.com/currencies/bitbook-gambling/,$0.205319,"$75,636,907",0.43%
BDX,Beldex,https://coinmarketcap.com/currencies/beldex/,$0.067145,"$65,816,888",0.28%
GAP,GAPS,https://coinmarketcap.com/currencies/gaps/,$6.34,"$63,392,365",-1.32%
OKB,OKB,https://coinmarketcap.com/currencies/okb/,$2.99,"$59,856,420",5.00%
FXC,Flexacoin,https://coinmarketcap.com/currencies/flexacoin/,$0.002695,"$56,336,456",1.29%
CCCX,Clipper Coin,https://coinmarketcap.com/currencies/clipper-coin/,$0.013698,"$51,784,815",0.00%
BF,BitForex Token,https://coinmarketcap.com/currencies/bitforex-token/,$0.011585,"$49,229,613",-2.99%
DTR,Dynamic Tradi...,https://coinmarketcap.com/currencies/dynamic-trading-rights/,$0.032188,"$48,960,094",0.49%
MB,MineBee,https://coinmarketcap.com/currencies/minebee/,$0.026316,"$48,160,930",-1.44%
CIX100,Cryptoindex.c...,https://coinmarketcap.com/currencies/cryptoindex-com-100/,$0.672344,"$41,960,821",-1.02%
HPT,Huobi Pool Token,https://coinmarketcap.com/currencies/huobi-pool-token/,$0.008190,"$41,574,917",2.24%
MX,MX Token,https://coinmarketcap.com/currencies/mx-token/,$0.185542,"$41,182,055",-0.61%
BRZE,Breezecoin,https://coinmarketcap.com/currencies/breezecoin/,$0.408147,"$40,814,733",3.67%
NET,NEXT,https://coinmarketcap.com/currencies/next/,$0.944310,"$38,236,823",5.63%
CVCC,CryptoVerific...,https://coinmarketcap.com/currencies/cryptoverificationcoin/,$64.20,"$37,400,251",0.57%
BCZERO,Buggyra Coin ...,https://coinmarketcap.com/currencies/buggyra-coin-zero/,$0.018132,"$36,459,916",1.79%
WIX,Wixlar,https://coinmarketcap.com/currencies/wixlar/,$0.014650,"$35,041,727",-2.37%
JWL,Jewel,https://coinmarketcap.com/currencies/jewel/,$0.620153,"$33,928,571",-4.03%
BZ,Bit-Z Token,https://coinmarketcap.com/currencies/bit-z-token/,$0.257492,"$33,764,551",-0.83%
VEST,VestChain,https://coinmarketcap.com/currencies/vestchain/,$0.004695,"$33,230,739",7.18%
VERI,Veritaseum,https://coinmarketcap.com/currencies/veritaseum/,$14.95,"$32,146,831",0.50%
FST,1irstcoin,https://coinmarketcap.com/currencies/1irstcoin/,$0.936118,"$31,797,959",6.96%
MXM,Maximine Coin,https://coinmarketcap.com/currencies/maximine-coin/,$0.019072,"$31,449,698",-27.76%
BHD,BitcoinHD,https://coinmarketcap.com/currencies/bitcoinhd/,$5.91,"$30,455,835",0.88%
BOTX,botXcoin,https://coinmarketcap.com/currencies/botxcoin/,$0.018527,"$30,230,958",2.12%
BNK,Bankera,https://coinmarketcap.com/currencies/bankera/,$0.001189,"$29,271,225",7.17%
BTC2,Bitcoin 2,https://coinmarketcap.com/currencies/bitcoin2/,$1.63,"$28,288,900",-2.73%
PLC,PLATINCOIN,https://coinmarketcap.com/currencies/platincoin/,$5.65,"$28,249,501",-17.46%
AGVC,AgaveCoin,https://coinmarketcap.com/currencies/agavecoin/,$0.070812,"$27,660,471",0.91%
USDK,USDK,https://coinmarketcap.com/currencies/usdk/,$0.961267,"$27,492,293",-1.61%
LA,LATOKEN,https://coinmarketcap.com/currencies/latoken/,$0.072242,"$27,459,524",-1.82%
QBIT,Qubitica,https://coinmarketcap.com/currencies/qubitica/,$33.23,"$26,869,689",0.74%
FAB,FABRK,https://coinmarketcap.com/currencies/fabrk/,$0.005576,"$26,735,674",3.28%
BQTX,BQT,https://coinmarketcap.com/currencies/bqt/,$0.065150,"$24,932,487",-3.20%
BHT,BHEX Token,https://coinmarketcap.com/currencies/bhex-token/,$0.044051,"$23,408,015",1.34%
XAC,General Atten...,https://coinmarketcap.com/currencies/general-attention-currency/,$2.28,"$22,809,205",0.48%
TLOS,Telos,https://coinmarketcap.com/currencies/telos/,$0.099861,"$22,456,248",0.83%
ECOREAL,Ecoreal Estate,https://coinmarketcap.com/currencies/ecoreal-estate/,$0.107201,"$22,396,215",-0.11%
ATP,Atlas Protocol,https://coinmarketcap.com/currencies/atlas-protocol/,$0.008673,"$22,342,643",-2.44%
XET,ETERNAL TOKEN,https://coinmarketcap.com/currencies/eternal-token/,$0.222564,"$20,803,013",-12.30%
SXDT,Spectre.ai Di...,https://coinmarketcap.com/currencies/spectre-dividend/,$0.243768,"$20,006,893",-0.52%
MOAC,MOAC,https://coinmarketcap.com/currencies/moac/,$0.313621,"$19,589,788",-3.13%
GNY,GNY,https://coinmarketcap.com/currencies/gny/,$0.103396,"$19,477,370",0.58%
TRAT,Tratin,https://coinmarketcap.com/currencies/tratin/,$0.000172,"$19,255,106",3.48%
MB8,MB8 Coin,https://coinmarketcap.com/currencies/mb8-coin/,$0.032098,"$18,795,501",-1.99%
MBC,MicroBitcoin,https://coinmarketcap.com/currencies/microbitcoin/,$0.000097,"$18,362,600",10.18%
CRE,Carry,https://coinmarketcap.com/currencies/carry/,$0.006257,"$18,122,528",16.58%
BTU,BTU Protocol,https://coinmarketcap.com/currencies/btu-protocol/,$0.249958,"$17,499,516",5.86%
ULT,Ultiledger,https://coinmarketcap.com/currencies/ultiledger/,$0.027211,"$17,480,067",-0.20%
VITAE,Vitae,https://coinmarketcap.com/currencies/vitae/,$0.975760,"$17,377,773",0.92%
EVN,Envion,https://coinmarketcap.com/currencies/envion/,$0.137802,"$16,426,614",-5.35%
UIP,UnlimitedIP,https://coinmarketcap.com/currencies/unlimitedip/,$0.013267,"$16,400,311",13.83%
GRN,GreenPower,https://coinmarketcap.com/currencies/greenpower/,$0.004956,"$16,016,671",-0.22%
GBYTE,Obyte,https://coinmarketcap.com/currencies/obyte/,$21.98,"$15,869,874",-4.50%
APL,Apollo Currency,https://coinmarketcap.com/currencies/apollo-currency/,$0.001061,"$15,585,981",5.37%
RET,RealTract,https://coinmarketcap.com/currencies/realtract/,$0.001283,"$13,604,967",-1.58%
UNO,Unobtanium,https://coinmarketcap.com/currencies/unobtanium/,$66.42,"$13,363,597",-1.24%
